name,lat,lng,sector_label
Argosy University-Seattle,47.613924,-122.351734,For-Profit
Argosy University-Tampa,27.955166,-82.482545,For-Profit
Argosy University-The Art Institute of California-Hollywood,34.166753,-118.37528,For-Profit
Argosy University-The Art Institute of California-Inland Empire,34.071827,-117.270965,For-Profit
Argosy University-The Art Institute of California-Los Angeles,34.019125,-118.451902,For-Profit
Argosy University-The Art Institute of California-Orange County,33.697014,-117.916303,For-Profit
Argosy University-The Art Institute of California-Sacramento,38.62211,-121.519083,For-Profit
Argosy University-The Art Institute of California-San Diego,32.778278,-117.155395,For-Profit
Argosy University-The Art Institute of California-San Francisco,37.780569,-122.413417,For-Profit
Argosy University-The Art Institute of California-Silicon Valley,37.37317,-121.99938,For-Profit
Argosy University-Twin Cities,44.837284,-93.173871,For-Profit
Argosy University-Washington DC,38.894272,-77.075927,For-Profit
Arizona Christian University,33.595117,-112.026211,Private
Arizona College-Las Vegas,36.1456,-115.171331,For-Profit
Arizona College-Mesa,33.41833,-111.873531,For-Profit
Arizona School of Acupuncture and Oriental Medicine,32.26462,-110.929241,For-Profit
Arizona State University-Downtown Phoenix,33.45343,-112.073221,Public
Arizona State University-Polytechnic,33.307142,-111.677225,Public
Arizona State University-Skysong,33.46266,-111.923001,Public
Arizona State University-Tempe,33.417721,-111.934383,Public
Arizona State University-West,33.60726,-112.160021,Public
Arizona Summit Law School,33.44866,-112.073133,For-Profit
Arkansas Baptist College,34.734751,-92.290555,Private
Arkansas Colleges of Health Education,35.317421,-94.319084,Private
Arkansas State University-Main Campus,35.842388,-90.679988,Public
Arkansas Tech University,35.293237,-93.13562,Public
Arlington Baptist College,32.739543,-97.155661,Private
Armstrong State University,31.978109,-81.160409,Public
Art Academy of Cincinnati,39.108805,-84.513913,Private
Art Center College of Design,34.170844,-118.186901,Private
Asbury Theological Seminary,37.863704,-84.661862,Private
Asbury University,37.862029,-84.662606,Private
Ashford University,32.8273,-117.141961,For-Profit
Ashland University,40.860987,-82.320621,Private
Aspen University,39.68614,-104.939111,For-Profit
Assemblies of God Theological Seminary,37.224401,-93.26151,Private
Assumption College,42.295435,-71.828387,Private
Athenaeum of Ohio,39.084199,-84.375556,Private
Athens State University,34.805625,-86.96514,Public
Atlanta Metropolitan State College,33.70893,-84.404659,Public
Atlanta's John Marshall Law School,33.793388,-84.38777,For-Profit
Atlantic Institute of Oriental Medicine,26.121964,-80.142235,Private
Atlantis University,25.788978,-80.18942,For-Profit
Auburn University,32.599378,-85.488258,Public
Auburn University at Montgomery,32.369939,-86.177351,Public
