"company","streetadd","place","state","zip","address","lon","lat"
"Autoliv","1320 Pacific Dr.","Auburn Hills","Michigan",48326,"1320 Pacific Dr., Auburn Hills, Michigan",-83.2743492,42.6942559
"CenterPoint Energy","1111 Louisiana St.","Houston","Texas",77002,"1111 Louisiana St., Houston, Texas",-95.3679888,29.7571169
"Fidelity National Financial","601 Riverside Ave.","Jacksonville","Florida",32204,"601 Riverside Ave., Jacksonville, Florida",-81.6762696,30.3184009
"Sonic Automotive","4401 Colwick Rd.","Charlotte","North Carolina",28211,"4401 Colwick Rd., Charlotte, North Carolina",-80.7969848,35.1767046
"HD Supply Holdings","3100 Cumberland Blvd.","Atlanta","Georgia",30339,"3100 Cumberland Blvd., Atlanta, Georgia",-84.4659124,33.8770518
"Charter Communications","400 Atlantic St.","Stamford","Connecticut",6901,"400 Atlantic St., Stamford, Connecticut",-73.5388563,41.0504634
"Crown Holdings","1 Crown Way","Philadelphia","Pennsylvania",19154,"1 Crown Way, Philadelphia, Pennsylvania",-74.9916503,40.1093768
"Applied Materials","3050 Bowers Ave.","Santa Clara","California",95054,"3050 Bowers Ave., Santa Clara, California",-121.9787818,37.3776247
"Mosaic","3033 Campus Dr.","Plymouth","Minnesota",55441,"3033 Campus Dr., Plymouth, Minnesota",-93.4546338,45.0154081
"CBRE Group","400 S. Hope St.","Los Angeles","California",90071,"400 S. Hope St., Los Angeles, California",-118.2536324,34.0516069
"Avon Products","777 Third Ave.","New York","New York",10017,"777 Third Ave., New York, New York",-73.9711154,40.7546905
"Republic Services","18500 N. Allied Way","Phoenix","Arizona",85054,"18500 N. Allied Way, Phoenix, Arizona",-111.9301716,33.654396
"Universal Health Services","367 S. Gulph Rd.","King of Prussia","Pennsylvania",19406,"367 S. Gulph Rd., King of Prussia, Pennsylvania",-75.3706394,40.0785558
"Darden Restaurants","1000 Darden Center Dr.","Orlando","Florida",32837,"1000 Darden Center Dr., Orlando, Florida",-81.4250584,28.418282
"Steel Dynamics","7575 W. Jefferson Blvd.","Fort Wayne","Indiana",46804,"7575 W. Jefferson Blvd., Fort Wayne, Indiana",-85.2374609,41.0405511
"SunTrust Banks","303 Peachtree St. N.E.","Atlanta","Georgia",30308,"303 Peachtree St. N.E., Atlanta, Georgia",-84.3859052,33.7627336
"Caesars Entertainment","1 Caesars Palace Dr.","Las Vegas","Nevada",89109,"1 Caesars Palace Dr., Las Vegas, Nevada",-115.1752403,36.1165658
"Targa Resources","1000 Louisiana St.","Houston","Texas",77002,"1000 Louisiana St., Houston, Texas",-95.3683567,29.7585002
"Dollar Tree","500 Volvo Pkwy.","Chesapeake","Virginia",23320,"500 Volvo Pkwy., Chesapeake, Virginia",-76.2426183,36.7681471
"News Corp.","1211 Avenue of the Americas","New York","New York",10036,"1211 Avenue of the Americas, New York, New York",-73.9820295,40.7584439
"Ball","10 Longs Peak Dr.","Broomfield","Colorado",80021,"10 Longs Peak Dr., Broomfield, Colorado",-105.0997669,39.9118664
"Thrivent Financial for Lutheran","625 Fourth Ave. S.","Minneapolis","Minnesota",55415,"625 Fourth Ave. S., Minneapolis, Minnesota",-93.2701295,44.932367
"Masco","21001 Van Born Rd.","Taylor","Michigan",48180,"21001 Van Born Rd., Taylor, Michigan",-83.242332,42.2675066
"Franklin Resources","1 Franklin Pkwy.","San Mateo","California",94403,"1 Franklin Pkwy., San Mateo, California",-122.2935447,37.5422487
"Avis Budget Group","6 Sylvan Way","Parsippany","New Jersey",7054,"6 Sylvan Way, Parsippany, New Jersey",-74.4506392,40.8486504
"Reynolds American","401 N. Main St.","Winston-Salem","North Carolina",27101,"401 N. Main St., Winston-Salem, North Carolina",-80.2437652,36.0994589
"Becton Dickinson","1 Becton Dr.","Franklin Lakes","New Jersey",7417,"1 Becton Dr., Franklin Lakes, New Jersey",-74.2106872,41.017009
"Priceline Group","800 Connecticut Ave.","Norwalk","Connecticut",6854,"800 Connecticut Ave., Norwalk, Connecticut",-73.4539645,41.0930242
"Broadcom","5300 California Ave.","Irvine","California",92617,"5300 California Ave., Irvine, California",-117.848235,33.6364483
"Tenneco","500 N. Field Dr.","Lake Forest","Illinois",60045,"500 N. Field Dr., Lake Forest, Illinois",-87.8993047,42.2486596
"Campbell Soup","1 Campbell Place","Camden","New Jersey",8103,"1 Campbell Place, Camden, New Jersey",-75.1079245,39.9394842
"AECOM","555 S. Flower St.","Los Angeles","California",90071,"555 S. Flower St., Los Angeles, California",-118.2575159,34.0507737
"Visteon","1 Village Center Dr.","Van Buren Township","Michigan",48111,"1 Village Center Dr., Van Buren Township, Michigan",-83.440529,42.2368379
"Delek US Holdings","7102 Commerce Way","Brentwood","Tennessee",37027,"7102 Commerce Way, Brentwood, Tennessee",-86.8096138,35.9708643
"Dover","3005 Highland Pkwy.","Downers Grove","Illinois",60515,"3005 Highland Pkwy., Downers Grove, Illinois",-88.0076416,41.8333116
"BorgWarner","3850 Hamlin Rd.","Auburn Hills","Michigan",48326,"3850 Hamlin Rd., Auburn Hills, Michigan",-83.2108611,42.6458403
"Jarden","1800 N. Military Trail","Boca Raton","Florida",33431,"1800 N. Military Trail, Boca Raton, Florida",-80.121398,26.3621002
"UGI","460 N. Gulph Rd.","King of Prussia","Pennsylvania",19406,"460 N. Gulph Rd., King of Prussia, Pennsylvania",-75.4070669,40.0885655
"Murphy Oil","200 Peach St.","El Dorado","Arkansas",71730,"200 Peach St., El Dorado, Arkansas",-92.6622873,33.2147208
"PVH","200 Madison Ave.","New York","New York",10016,"200 Madison Ave., New York, New York",-73.9825933,40.749138
"Core-Mark Holding","395 Oyster Point Blvd.","South San Francisc","California",94080,"395 Oyster Point Blvd., South San Francisc, California",-122.3830972,37.6676844
"Calpine","717 Texas Ave.","Houston","Texas",77002,"717 Texas Ave., Houston, Texas",-95.3642277,29.7616891
"D.R. Horton","301 Commerce St.","Fort Worth","Texas",76102,"301 Commerce St., Fort Worth, Texas",-97.3304799,32.7560187
"Weyerhaeuser","33663 Weyerhaeuser Way S.","Federal Way","Washington",98003,"33663 Weyerhaeuser Way S., Federal Way, Washington",-122.2991023,47.2968716
"KKR","9 W. 57th St.","New York","New York",10019,"9 W. 57th St., New York, New York",-73.975023,40.7637696
"FMC Technologies","5875 N. Sam Houston Pkwy. W.","Houston","Texas",77086,"5875 N. Sam Houston Pkwy. W., Houston, Texas",-95.5127716,29.9359048
"American Family Insurance Group","6000 American Pkwy.","Madison","Wisconsin",53783,"6000 American Pkwy., Madison, Wisconsin",-89.2899185,43.1581398
"SpartanNash","850 76th St. S.W.","Grand Rapids","Michigan",49518,"850 76th St. S.W., Grand Rapids, Michigan",-85.6858616,42.8229148
"WESCO International","225 W. Station Square Dr.","Pittsburgh","Pennsylvania",15219,"225 W. Station Square Dr., Pittsburgh, Pennsylvania",-80.005785,40.434008
"Quanta Services","2800 Post Oak Blvd.","Houston","Texas",77056,"2800 Post Oak Blvd., Houston, Texas",-95.4622183,29.7370769
"Mohawk Industries","160 S. Industrial Blvd.","Calhoun","Georgia",30701,"160 S. Industrial Blvd., Calhoun, Georgia",-84.9434654,34.4724813
"Motorola Solutions","1303 E. Algonquin Rd.","Schaumburg","Illinois",60196,"1303 E. Algonquin Rd., Schaumburg, Illinois",-88.0514374,42.0624688
"Lennar","700 N.W. 107th Ave.","Miami","Florida",33172,"700 N.W. 107th Ave., Miami, Florida",-80.3704398,25.7769483
"TravelCenters of America","24601 Center Ridge Rd.","Westlake","Ohio",44145,"24601 Center Ridge Rd., Westlake, Ohio",-81.8944721,41.4566903
"Sealed Air","200 Riverfront Blvd.","Elmwood Park","New Jersey",7407,"200 Riverfront Blvd., Elmwood Park, New Jersey",-74.1278522,40.8972105
"Eversource Energy","1 Federal St.","Springfield","Massachusetts",1105,"1 Federal St., Springfield, Massachusetts",-72.576699,42.1108392
"Coca-Cola Enterprises","2500 Windy Ridge Pkwy.","Atlanta","Georgia",30339,"2500 Windy Ridge Pkwy., Atlanta, Georgia",-84.4565637,33.9049622
"Celgene","86 Morris Ave.","Summit","New Jersey",7901,"86 Morris Ave., Summit, New Jersey",-74.3452692,40.7090186
"Williams","1 Williams Center","Tulsa","Oklahoma",74172,"1 Williams Center, Tulsa, Oklahoma",-95.9905266,36.1549519
"Ashland","50 E. RiverCenter Blvd.","Covington","Kentucky",41011,"50 E. RiverCenter Blvd., Covington, Kentucky",-84.5104714,39.0901327
"Interpublic Group","1114 Ave. of the Americas","New York","New York",10036,"1114 Ave. of the Americas, New York, New York",-73.9828494,40.7546664
"Blackstone Group","345 Park Ave.","New York","New York",10154,"345 Park Ave., New York, New York",-73.9722189,40.7579332
"Ralph Lauren","650 Madison Ave.","New York","New York",10022,"650 Madison Ave., New York, New York",-73.9713457,40.7639879
"Quest Diagnostics","3 Giralda Farms","Madison","New Jersey",7940,"3 Giralda Farms, Madison, New Jersey",-74.4331683,40.7645132
"Hershey","100 Crystal A Dr.","Hershey","Pennsylvania",17033,"100 Crystal A Dr., Hershey, Pennsylvania",-76.648536,40.3010198
"Terex","200 Nyala Farm Rd.","Westport","Connecticut",6880,"200 Nyala Farm Rd., Westport, Connecticut",-73.3273007,41.1228346
"Boston Scientific","1 Boston Scientific Place","Natick","Massachusetts",1760,"1 Boston Scientific Place, Natick, Massachusetts",-71.3763884,42.3021253
"Newmont Mining","6363 S. Fiddler's Green Circl","Greenwood Village","Colorado",80111,"6363 S. Fiddler's Green Circl, Greenwood Village, Colorado",-104.8923492,39.6006238
"Allergan","2525 Dupont Dr.","Irvine","California",92612,"2525 Dupont Dr., Irvine, California",-117.8539951,33.6716922
"O'Reilly Automotive","233 S. Patterson Ave.","Springfield","Missouri",65802,"233 S. Patterson Ave., Springfield, Missouri",-93.2492485,37.2076592
"Casey's General Stores","1 Convenience Blvd.","Ankeny","Iowa",50021,"1 Convenience Blvd., Ankeny, Iowa",-93.57317,41.693711
"CMS Energy","1 Energy Plaza","Jackson","Michigan",49201,"1 Energy Plaza, Jackson, Michigan",-84.4022463,42.2466617
"Foot Locker","112 W. 34th St.","New York","New York",10120,"112 W. 34th St., New York, New York",-73.9887048,40.7498313
"W.R. Berkley","475 Steamboat Rd.","Greenwich","Connecticut",6830,"475 Steamboat Rd., Greenwich, Connecticut",-73.6222537,41.0187265
"PetSmart","19601 N. 27th Ave.","Phoenix","Arizona",85027,"19601 N. 27th Ave., Phoenix, Arizona",-112.1151704,33.6632593
"Pacific Life","1111 Louisiana St.","Houston","Texas",77002,"1111 Louisiana St., Houston, Texas",-95.3679888,29.7571169
"Commercial Metals","6565 N. MacArthur Blvd.","Irving","Texas",75039,"6565 N. MacArthur Blvd., Irving, Texas",-96.9599098,32.8982848
"Agilent Technologies","5301 Stevens Creek Blvd.","Santa Clara","California",95051,"5301 Stevens Creek Blvd., Santa Clara, California",-121.9989378,37.3248865
"Huntington Ingalls Industries","4101 Washington Ave.","Newport News","Virginia",23607,"4101 Washington Ave., Newport News, Virginia",-76.4371019,36.9880862
"Mutual of Omaha Insurance","Mutual of Omaha Plaza","Omaha","Nebraska",68175,"Mutual of Omaha Plaza, Omaha, Nebraska",-96.099056,41.279036
"Live Nation Entertainment","9348 Civic Center Dr.","Beverly Hills","California",90210,"9348 Civic Center Dr., Beverly Hills, California",-118.3985559,34.0742157
"Dick's Sporting Goods","345 Court St.","Coraopolis","Pennsylvania",15108,"345 Court St., Coraopolis, Pennsylvania",-80.2655499,40.5075915
"Oshkosh","2307 Oregon St.","Oshkosh","Wisconsin",54902,"2307 Oregon St., Oshkosh, Wisconsin",-88.5441454,43.992517
"Celanese","222 W. Las Colinas Blvd.","Irving","Texas",75039,"222 W. Las Colinas Blvd., Irving, Texas",-96.9434437,32.8711019
"Spirit AeroSystems Holdings","3801 S. Oliver St.","Wichita","Kansas",67210,"3801 S. Oliver St., Wichita, Kansas",-97.2792309,37.4987089
"United Natural Foods","313 Iron Horse Way","Providence","Rhode Island",2908,"313 Iron Horse Way, Providence, Rhode Island",-71.4318448,41.828686
"Peabody Energy","701 Market St.","St. Louis","Missouri",63101,"701 Market St., St. Louis, Missouri",-90.1926536,38.6266409
"Owens-Illinois","1 Michael Owens Way","Perrysburg","Ohio",43551,"1 Michael Owens Way, Perrysburg, Ohio",-83.6477273,41.5285835
"Dillard's","1600 Cantrell Rd.","Little Rock","Arkansas",72201,"1600 Cantrell Rd., Little Rock, Arkansas",-92.2875105,34.7545821
"Level 3 Communications","1025 Eldorado Blvd.","Broomfield","Colorado",80021,"1025 Eldorado Blvd., Broomfield, Colorado",-105.1443744,39.9209158
"Pantry","305 Gregson Dr.","Cary","North Carolina",27511,"305 Gregson Dr., Cary, North Carolina",-78.8047253,35.7321366
"LKQ","500 W. Madison St.","Chicago","Illinois",60661,"500 W. Madison St., Chicago, Illinois",-87.6403882,41.8823062
"Integrys Energy Group","130 E. Randolph St.","Chicago","Illinois",60601,"130 E. Randolph St., Chicago, Illinois",-87.6230524,41.8849569
"Symantec","350 Ellis St.","Mountain View","California",94043,"350 Ellis St., Mountain View, California",-122.0532039,37.397629
"Buckeye Partners","1 Greenway Plaza","Houston","Texas",77046,"1 Greenway Plaza, Houston, Texas",-95.4394331,29.7318769
"Ryder System","11690 N.W. 105th St.","Miami","Florida",33178,"11690 N.W. 105th St., Miami, Florida",-80.385295,25.8695423
"SanDisk","951 SanDisk Dr.","Milpitas","California",95035,"951 SanDisk Dr., Milpitas, California",-121.9221553,37.4188883
"Rockwell Automation","1201 S. Second St.","Milwaukee","Wisconsin",53204,"1201 S. Second St., Milwaukee, Wisconsin",-87.9126025,43.0188476
"Dana Holding","3939 Technology Dr.","Maumee","Ohio",43537,"3939 Technology Dr., Maumee, Ohio",-83.6935076,41.5675688
"Lansing Trade Group","10975 Benson Drive, Suite 400","Overland","Kansas",66210,"10975 Benson Drive, Suite 400, Overland, Kansas",-94.6875255,38.9303144
"NCR","3097 Satellite Blvd.","Duluth","Georgia",30096,"3097 Satellite Blvd., Duluth, Georgia",-84.1151453,33.9633904
"Expeditors International of Was","1015 Third Ave.","Seattle","Washington",98104,"1015 Third Ave., Seattle, Washington",-122.334683,47.605838
"Omnicare","201 E. Fourth St.","Cincinnati","Ohio",45202,"201 E. Fourth St., Cincinnati, Ohio",-84.508908,39.1002093
"AK Steel Holding","9227 Centre Pointe Dr.","West Chester","Ohio",45069,"9227 Centre Pointe Dr., West Chester, Ohio",-84.4282026,39.3274007
"Fifth Third Bancorp","38 Fountain Square Plaza","Cincinnati","Ohio",45263,"38 Fountain Square Plaza, Cincinnati, Ohio",-84.5121293,39.1021733
"Seaboard","9000 W. 67th St.","Shawnee Mission","Kansas",66202,"9000 W. 67th St., Shawnee Mission, Kansas",-94.6908213,39.0081864
"NiSource","801 E. 86th Ave.","Merrillville","Indiana",46410,"801 E. 86th Ave., Merrillville, Indiana",-87.3254497,41.4614637
"Cablevision Systems","1111 Stewart Ave.","Bethpage","New York",11714,"1111 Stewart Ave., Bethpage, New York",-73.4948041,40.7613355
"Anixter International","2301 Patriot Blvd.","Glenview","Illinois",60026,"2301 Patriot Blvd., Glenview, Illinois",-87.8234276,42.0974005
"EMCOR Group","301 Merritt Seven","Norwalk","Connecticut",6851,"301 Merritt Seven, Norwalk, Connecticut",-73.426899,41.1494149
"Fidelity National Information S","601 Riverside Ave.","Jacksonville","Florida",32204,"601 Riverside Ave., Jacksonville, Florida",-81.6762696,30.3184009
"Barnes & Noble","122 Fifth Ave.","New York","New York",10011,"122 Fifth Ave., New York, New York",-73.9923705,40.7382681
"KBR","601 Jefferson St.","Houston","Texas",77002,"601 Jefferson St., Houston, Texas",-95.3723074,29.7532925
"Auto-Owners Insurance","6101 Anacapri Blvd.","Lansing","Michigan",48917,"6101 Anacapri Blvd., Lansing, Michigan",-84.6382659,42.7219402
"Jones Financial","12555 Manchester Rd.","Des Peres","Missouri",63131,"12555 Manchester Rd., Des Peres, Missouri",-90.4462161,38.6044178
"Avery Dennison","207 Goode Ave.","Glendale","California",91203,"207 Goode Ave., Glendale, California",-118.2563626,34.1570641
"NetApp","495 E. Java Dr.","Sunnyvale","California",94089,"495 E. Java Dr., Sunnyvale, California",-122.0119961,37.41127
"iHeartMedia","200 E. Basse Rd.","San Antonio","Texas",78209,"200 E. Basse Rd., San Antonio, Texas",-98.4791877,29.4925357
"Discovery Communications","1 Discovery Place","Silver Spring","Maryland",20910,"1 Discovery Place, Silver Spring, Maryland",-77.0282898,38.9954716
"Harley-Davidson","3700 W. Juneau Ave.","Milwaukee","Wisconsin",53208,"3700 W. Juneau Ave., Milwaukee, Wisconsin",-87.9603032,43.0460547
"Sanmina","2700 N. First St.","San Jose","California",95134,"2700 N. First St., San Jose, California",-121.9295747,37.390052
"Trinity Industries","2525 N. Stemmons Freeway","Dallas","Texas",75207,"2525 N. Stemmons Freeway, Dallas, Texas",-96.8399373,32.8054753
"J.B. Hunt Transport Services","615 J.B. Hunt Corporate Dr.","Lowell","Arkansas",72745,"615 J.B. Hunt Corporate Dr., Lowell, Arkansas",-94.1494438,36.2447313
"Charles Schwab","211 Main St.","San Francisco","California",94105,"211 Main St., San Francisco, California",-122.3927897,37.7905969
"Erie Insurance Group","100 Erie Insurance Place","Erie","Pennsylvania",16530,"100 Erie Insurance Place, Erie, Pennsylvania",-80.0838159,42.130275
"Dr Pepper Snapple Group","5301 Legacy Dr.","Plano","Texas",75024,"5301 Legacy Dr., Plano, Texas",-96.8047905,33.0780321
"Ameren","1901 Chouteau Ave.","St. Louis","Missouri",63103,"1901 Chouteau Ave., St. Louis, Missouri",-90.2093732,38.6224792
"Mattel","333 Continental Blvd.","El Segundo","California",90245,"333 Continental Blvd., El Segundo, California",-118.3917093,33.9204429
"Laboratory Corp. of America","358 S. Main St.","Burlington","North Carolina",27215,"358 S. Main St., Burlington, North Carolina",-79.4373797,36.0931722
"TEGNA","7950 Jones Branch Dr.","McLean","Virginia",22107,"7950 Jones Branch Dr., McLean, Virginia",-77.2190493,38.932099
"Starwood Hotels & Resorts","1 StarPoint","Stamford","Connecticut",6902,"1 StarPoint, Stamford, Connecticut",-73.531326,41.0419498
"General Cable","4 Tesseneer Dr.","Highland Heights","Kentucky",41076,"4 Tesseneer Dr., Highland Heights, Kentucky",-84.4620583,39.0434832
"A-Mark Precious Metals","429 Santa Monica Boulevard, S","Santa Monica","California",90401,"429 Santa Monica Boulevard, S, Santa Monica, California",-118.4947614,34.0172
"Graybar Electric","34 N. Meramec Ave.","St. Louis","Missouri",63105,"34 N. Meramec Ave., St. Louis, Missouri",-90.3390263,38.6514298
"Energy Future Holdings","1601 Bryan St.","Dallas","Texas",75201,"1601 Bryan St., Dallas, Texas",-96.7991001,32.7831921
"HRG Group","450 Park Ave.","New York","New York",10022,"450 Park Ave., New York, New York",-73.9713699,40.7614961
"MRC Global","909 Fannin St.","Houston","Texas",77010,"909 Fannin St., Houston, Texas",-95.3632875,29.75636
"Spectra Energy","5400 Westheimer Court","Houston","Texas",77056,"5400 Westheimer Court, Houston, Texas",-95.4731118,29.7403262
"Asbury Automotive Group","2905 Premiere Pkwy. N.W.","Duluth","Georgia",30097,"2905 Premiere Pkwy. N.W., Duluth, Georgia",-84.093353,34.0051292
"Packaging Corp. of America","1955 W. Field Court","Lake Forest","Illinois",60045,"1955 W. Field Court, Lake Forest, Illinois",-87.8944751,42.243103
"Windstream Holdings","4001 Rodney Parham Rd.","Little Rock","Arkansas",72212,"4001 Rodney Parham Rd., Little Rock, Arkansas",-92.3967913,34.7871675
"PulteGroup","100 Bloomfield Hills Pkwy.","Bloomfield Hills","Michigan",48304,"100 Bloomfield Hills Pkwy., Bloomfield Hills, Michigan",-83.2353771,42.5833832
"JetBlue Airways","27-01 Queens Plaza N.","Long Island City","New York",11101,"27-01 Queens Plaza N., Long Island City, New York",-73.9387435,40.7508189
"Newell Rubbermaid","3 Glenlake Pkwy.","Atlanta","Georgia",30328,"3 Glenlake Pkwy., Atlanta, Georgia",-84.3599966,33.9355491
"Con-way","2211 Old Earhart Rd.","Ann Arbor","Michigan",48105,"2211 Old Earhart Rd., Ann Arbor, Michigan",-83.6841966,42.3056623
"Calumet Specialty Products Part","2780 Waterfront Pkwy. E. Dr.","Indianapolis","Indiana",46214,"2780 Waterfront Pkwy. E. Dr., Indianapolis, Indiana",-86.2786237,39.8055757
"Expedia","333 108th Ave. N.E.","Bellevue","Washington",98004,"333 108th Ave. N.E., Bellevue, Washington",-122.1970996,47.6133892
"American Financial Group","301 E. Fourth St.","Cincinnati","Ohio",45202,"301 E. Fourth St., Cincinnati, Ohio",-84.5075246,39.1005464
"Tractor Supply","200 Powell Place","Brentwood","Tennessee",37027,"200 Powell Place, Brentwood, Tennessee",-86.8114759,36.0357205
"United Rentals","100 First Stamford Place","Stamford","Connecticut",6902,"100 First Stamford Place, Stamford, Connecticut",-73.5486083,41.0443102
"Ingredion","5 Westbrook Corporate Center","Westchester","Illinois",60154,"5 Westbrook Corporate Center, Westchester, Illinois",-87.9052856,41.8453955
"Navient","123 Justison Street","Wilmington","Delaware",19801,"123 Justison Street, Wilmington, Delaware",-75.5590563,39.7384665
"MeadWestvaco","501 S. Fifth St.","Richmond","Virginia",23219,"501 S. Fifth St., Richmond, Virginia",-77.4416911,37.5362715
"AGL Resources","10 Peachtree Place N.E.","Atlanta","Georgia",30309,"10 Peachtree Place N.E., Atlanta, Georgia",-84.387112,33.7809085
"St. Jude Medical","1 St. Jude Medical Dr.","St. Paul","Minnesota",55117,"1 St. Jude Medical Dr., St. Paul, Minnesota",-93.1009793,45.0123309
"J.M. Smucker","1 Strawberry Lane","Orrville","Ohio",44667,"1 Strawberry Lane, Orrville, Ohio",-81.762547,40.8475149
"Western Union","12500 E.Belford Ave.","Englewood","Colorado",80112,"12500 E.Belford Ave., Englewood, Colorado",-104.8444587,39.5461177
"Clorox","1221 Broadway","Oakland","California",94612,"1221 Broadway, Oakland, California",-122.272345,37.8034631
"Domtar","100 Kingsley Park Dr.","Fort Mill","South Carolina",29715,"100 Kingsley Park Dr., Fort Mill, South Carolina",-80.9643978,35.0243253
"Kelly Services","999 W. Big Beaver Rd.","Troy","Michigan",48084,"999 W. Big Beaver Rd., Troy, Michigan",-83.1664913,42.5607669
"Old Republic International","307 N. Michigan Ave.","Chicago","Illinois",60601,"307 N. Michigan Ave., Chicago, Illinois",-87.6242091,41.8870731
"Advanced Micro Devices","1 AMD Place","Sunnyvale","California",94085,"1 AMD Place, Sunnyvale, California",-121.9992043,37.3863091
"Netflix","100 Winchester Circle","Los Gatos","California",95032,"100 Winchester Circle, Los Gatos, California",-121.9627527,37.259575
"Booz Allen Hamilton Holding","8283 Greensboro Dr.","McLean","Virginia",22102,"8283 Greensboro Dr., McLean, Virginia",-77.2323425,38.9223346
"Quintiles Transnational Holding","4820 Emperor Blvd.","Durham","North Carolina",27703,"4820 Emperor Blvd., Durham, North Carolina",-78.8406392,35.8808423
"Wynn Resorts","3131 Las Vegas Blvd. S.","Las Vegas","Nevada",89109,"3131 Las Vegas Blvd. S., Las Vegas, Nevada",-115.1648303,36.1271069
"Jones Lang LaSalle","200 E. Randolph Dr.","Chicago","Illinois",60601,"200 E. Randolph Dr., Chicago, Illinois",-87.6214992,41.8850194
"Regions Financial","1900 Fifth Ave. N.","Birmingham","Alabama",35203,"1900 Fifth Ave. N., Birmingham, Alabama",-86.8089142,33.5180597
"CH2M Hill","9191 S. Jamaica St.","Englewood","Colorado",80112,"9191 S. Jamaica St., Englewood, Colorado",-104.867689,39.5489314
"Western & Southern Financial Gr","400 Broadway","Cincinnati","Ohio",45202,"400 Broadway, Cincinnati, Ohio",-84.5058735,39.1018298
"Lithia Motors","150 N. Bartlett St.","Medford","Oregon",97501,"150 N. Bartlett St., Medford, Oregon",-122.8720949,42.3286582
"salesforce.com","1 Market St.","San Francisco","California",94105,"1 Market St., San Francisco, California",-122.3946979,37.7932183
"Alaska Air Group","19300 International Blvd.","Seattle","Washington",98188,"19300 International Blvd., Seattle, Washington",-122.2931934,47.4292312
"Host Hotels & Resorts","6903 Rockledge Dr.","Bethesda","Maryland",20817,"6903 Rockledge Dr., Bethesda, Maryland",-77.1403372,39.0277524
"Harman International Industries","400 Atlantic St.","Stamford","Connecticut",6901,"400 Atlantic St., Stamford, Connecticut",-73.5388563,41.0504634
"Amphenol","358 Hall Ave.","Wallingford","Connecticut",6492,"358 Hall Ave., Wallingford, Connecticut",-72.8330564,41.4607747
"Realogy Holdings","175 Park Ave.","Madison","New Jersey",7940,"175 Park Ave., Madison, New Jersey",-74.4227927,40.7714516
"Essendant","1 Parkway N. Blvd.","Deerfield","Illinois",60015,"1 Parkway N. Blvd., Deerfield, Illinois",-87.8766717,42.1637723
"Hanesbrands","1000 E. Hanes Mill Rd.","Winston-Salem","North Carolina",27105,"1000 E. Hanes Mill Rd., Winston-Salem, North Carolina",-80.2641032,36.1888431
"Kindred Healthcare","680 S. Fourth St.","Louisville","Kentucky",40202,"680 S. Fourth St., Louisville, Kentucky",-85.7596953,38.2470285
"ARRIS Group","3871 Lakefield Dr.","Suwanee","Georgia",30024,"3871 Lakefield Dr., Suwanee, Georgia",-84.1549726,34.0646195
"Insight Enterprises","6820 S. Harl Ave.","Tempe","Arizona",85283,"6820 S. Harl Ave., Tempe, Arizona",-111.9681002,33.358338
"Alliance Data Systems","7500 Dallas Pkwy.","Plano","Texas",75024,"7500 Dallas Pkwy., Plano, Texas",-96.8236276,33.0809403
"LifePoint Health","330 Seven Springs Way","Brentwood","Tennessee",37027,"330 Seven Springs Way, Brentwood, Tennessee",-86.7692102,36.0416398
"Pioneer Natural Resources","5205 N. O'Connor Blvd.","Irving","Texas",75039,"5205 N. O'Connor Blvd., Irving, Texas",-96.9395894,32.8703634
"Wyndham Worldwide","22 Sylvan Way","Parsippany","New Jersey",7054,"22 Sylvan Way, Parsippany, New Jersey",-74.4387317,40.84593
"Owens Corning","1 Owens Corning Pkwy.","Toledo","Ohio",43659,"1 Owens Corning Pkwy., Toledo, Ohio",-83.5355929,41.646183
"Alleghany","7 Times Sq.","New York","New York",10036,"7 Times Sq., New York, New York",-73.9869088,40.755465
"McGraw Hill Financial","1221 Ave. of the Americas","New York","New York",10020,"1221 Ave. of the Americas, New York, New York",-73.9822451,40.7594995
