"company","streetadd","place","state","zip","address","lon","lat"
"Lear","21557 Telegraph Rd.","Southfield","Michigan",48033,"21557 Telegraph Rd., Southfield, Michigan",-83.2791982,42.4525614
"TRW Automotive Holdings","12001 Tech Center Dr.","Livonia","Michigan",48150,"12001 Tech Center Dr., Livonia, Michigan",-83.341911,42.3728324
"United States Steel","600 Grant St.","Pittsburgh","Pennsylvania",15219,"600 Grant St., Pittsburgh, Pennsylvania",-79.9949158,40.4410742
"Penske Automotive Group","2555 Telegraph Rd.","Bloomfield Hills","Michigan",48302,"2555 Telegraph Rd., Bloomfield Hills, Michigan",-83.2879437,42.6025664
"AES","4300 Wilson Blvd.","Arlington","Virginia",22203,"4300 Wilson Blvd., Arlington, Virginia",-77.1126498,38.879629
"Colgate-Palmolive","300 Park Ave.","New York","New York",10022,"300 Park Ave., New York, New York",-73.9746695,40.7570209
"Global Partners","800 South St.","Waltham","Massachusetts",2453,"800 South St., Waltham, Massachusetts",-71.2625029,42.3546031
"Thermo Fisher Scientific","81 Wyman St.","Waltham","Massachusetts",2451,"81 Wyman St., Waltham, Massachusetts",-71.2581874,42.3998795
"PG&E Corp.","77 Beale St.","San Francisco","California",94105,"77 Beale St., San Francisco, California",-122.3956663,37.7916858
"NextEra Energy","700 Universe Blvd.","Juno Beach","Florida",33408,"700 Universe Blvd., Juno Beach, Florida",-80.0581897,26.8595013
"American Electric Power","1 Riverside Plaza","Columbus","Ohio",43215,"1 Riverside Plaza, Columbus, Ohio",-83.0064261,39.9650383
"Baxter International","1 Baxter Pkwy.","Deerfield","Illinois",60015,"1 Baxter Pkwy., Deerfield, Illinois",-87.88075,42.1587535
"Centene","7700 Forsyth Blvd.","St. Louis","Missouri",63105,"7700 Forsyth Blvd., St. Louis, Missouri",-90.3343387,38.6496633
"Starbucks","2401 Utah Ave. S.","Seattle","Washington",98134,"2401 Utah Ave. S., Seattle, Washington",-122.3357381,47.5810087
"Gap","2 Folsom St.","San Francisco","California",94105,"2 Folsom St., San Francisco, California",-122.3910195,37.7906941
"Bank of New York Mellon Corp.","1 Wall St.","New York","New York",10286,"1 Wall St., New York, New York",-74.0085749,40.7052472
"Micron Technology","8000 S. Federal Way","Boise","Idaho",83716,"8000 S. Federal Way, Boise, Idaho",-116.1494251,43.5300934
"Jabil Circuit","10560 Dr. Martin Luther King","St. Petersburg","Florida",33716,"10560 Dr. Martin Luther King, St. Petersburg, Florida",-82.6471381,27.8864104
"PNC Financial Services Group","249 Fifth Ave.","Pittsburgh","Pennsylvania",15222,"249 Fifth Ave., Pittsburgh, Pennsylvania",-80.0004856,40.4411909
"Kinder Morgan","1001 Louisiana St.","Houston","Texas",77002,"1001 Louisiana St., Houston, Texas",-95.3673942,29.7578446
"Office Depot","6600 N. Military Trail","Boca Raton","Florida",33496,"6600 N. Military Trail, Boca Raton, Florida",-80.1208745,26.4053248
"Bristol-Myers Squibb","345 Park Ave.","New York","New York",10154,"345 Park Ave., New York, New York",-73.9722189,40.7579332
"NRG Energy","211 Carnegie Center","Princeton","New Jersey",8540,"211 Carnegie Center, Princeton, New Jersey",-74.6450753,40.3187091
"Monsanto","800 N. Lindbergh Blvd.","St. Louis","Missouri",63167,"800 N. Lindbergh Blvd., St. Louis, Missouri",-90.4005333,38.6711242
"PPG Industries","1 PPG Place","Pittsburgh","Pennsylvania",15272,"1 PPG Place, Pittsburgh, Pennsylvania",-80.0034788,40.4398819
"Genuine Parts","2999 Circle 75 Pkwy.","Atlanta","Georgia",30339,"2999 Circle 75 Pkwy., Atlanta, Georgia",-84.4699872,33.895226
"Omnicom Group","437 Madison Ave.","New York","New York",10022,"437 Madison Ave., New York, New York",-73.9752435,40.7573533
"Illinois Tool Works","3600 W. Lake Ave.","Glenview","Illinois",60026,"3600 W. Lake Ave., Glenview, Illinois",-87.8470639,42.0900791
"Murphy USA","200 Peach St.","El Dorado","Arkansas",71730,"200 Peach St., El Dorado, Arkansas",-92.6622873,33.2147208
"Land O'Lakes","4001 Lexington Ave. N.","Arden Hills","Minnesota",55126,"4001 Lexington Ave. N., Arden Hills, Minnesota",-93.1508384,45.0626683
"Western Refining","123 W. Mills Ave.","El Paso","Texas",79901,"123 W. Mills Ave., El Paso, Texas",-106.489318,31.7589164
"Western Digital","3355 Michelson Dr.","Irvine","California",92612,"3355 Michelson Dr., Irvine, California",-117.8409843,33.673017
"FirstEnergy","76 S. Main St.","Akron","Ohio",44308,"76 S. Main St., Akron, Ohio",-81.5183258,41.083384
"Aramark","1101 Market St.","Philadelphia","Pennsylvania",19107,"1101 Market St., Philadelphia, Pennsylvania",-75.1584143,39.9521671
